file,artist,title,lyrics,mood,year
TRAAIAX128F930531B.h5,Nazz,How Can You Call That Beautiful (Stewkey Vocal),,happy,1971
TRAAIDY128F92CA454.h5,Hot Tuna,Candy Man,,sad,1971
TRAAIHL128F92E6DDA.h5,Boyz II Men,On Bended Knee,,sad,1994
TRAAIII128F427D5D8.h5,Donny Hathaway,Little Girl (LP Version),,happy,1971
TRAAIYR12903CD290D.h5,Wolfmother,White Feather,,happy,2009
TRAAJEK128F422F55A.h5,Jupiter Rising,They Say (Album),,happy,2007
TRAAJJA12903CC518A.h5,Saafir,Crawl Before You Ball (Album Version),,sad,1999
TRAAJJG128F4284B27.h5,The Verve Pipe,Medicate Myself,,sad,2001
TRAAJYX128F4255568.h5,Maxi Priest,Groovin' In The Midnight,,happy,1991
TRAAKAS128F4246013.h5,Porcupine Tree,Waiting,,sad,1997
TRAAKDF128F92FA302.h5,Foo Fighters,Hell,,sad,2005
TRAAKNS12903CC5198.h5,Robben Ford,I Got Over It (Album Version),,happy,1988
TRAAKVZ12903D074BB.h5,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),,happy,2009
TRAALZC128F92E11A6.h5,Dolly Parton,Letter To Heaven,,sad,1971
TRAAMES128F42AF068.h5,Pearl Jam,Inside Job,,happy,2006
TRAAMFG128F92FDEA2.h5,Natalie Cole,Take A Look  (LP Version),,sad,1993
TRAAMJY128F92F5919.h5,DJ Quik,Born and Raised In Compton,,happy,1991
TRAAMKI128F428537A.h5,Hank Locklin,We're Gonna Go Fishin',,happy,1962
TRAANBH128F9345A6C.h5,Diesel Boy,Cooler Than You,,happy,1998
TRAANLO128F422AE37.h5,Cradle Of Filth,Summer Dying Fast,,sad,1994
TRAAOIN128F9303790.h5,Test Icicles,Snowball,,sad,2005
TRAAOJI128F1458DCD.h5,Heaven 17,(We Don't Need This) Fascist Groove Thang,,sad,1981
TRAAPFQ128F42684DB.h5,Dimmu Borgir,Master Of Disharmony,,sad,1996
TRAAPSQ12903CAE86A.h5,Sex Pistols,God Save the Queen (Live),,happy,1988
TRAAPVV128F425D64C.h5,Chris Brown,Forever,,happy,2008
TRAAQBF12903CF796B.h5,Hem,Have Yourself A Merry Little Christmas,,happy,2005
TRAAQCK128F92E8C33.h5,Lily Allen,U Killed It,,sad,2006
TRAARHS128F931689D.h5,The Killers,Spaceman,,sad,2008
TRAASFP128F42980BD.h5,Orbital,Illuminate,,happy,2001
TRAASKQ128F4265E04.h5,Rage Against The Machine,Kick Out The Jams,,happy,2000
TRAASQC128F93480F0.h5,Rise Against,Amber Changing,,happy,2003
TRAASUZ128F9314950.h5,Korn,Hey Daddy,,sad,1999
TRAASZE128F93499AE.h5,Agnes,I Need You Now,,sad,2009
TRAATGM12903C9CD7C.h5,Tantric,Walk Away,,happy,2009
TRAATIU128F4291A84.h5,Mastodon,Shadows That Move,,sad,2001
TRAATNJ128F42631BA.h5,Korn,Ever Be,,sad,2007
TRAATPA128F146753C.h5,Extreme,Teacher's Pet,,happy,1958
TRAATWQ12903CC5BA8.h5,Prozak,Go To Hell,,sad,2004
TRAAUEO128E0780CB9.h5,Placebo,English Summer Rain,,sad,2003
TRAAUMJ128F933BDB6.h5,LORE,Haunting,,sad,2008
TRAAUMN128F4273561.h5,Soul Asylum,Lies Of Hate,,sad,1998
TRAAVIT128F92E657C.h5,Nightwish,Escapist,,happy,2007
TRAAVOU128F422F292.h5,Silverstein,Always And Never (Album Version),,sad,2005
TRAAWDK128F92E2A17.h5,The Notorious B.I.G.,Who Shot Ya (Amended Album Version),,sad,2007
TRAAWOR128F92DF3C8.h5,Sandi Thom,Wounded Hearts,,happy,2008
TRAAXUY128F426BA55.h5,Gene Clark,Set You Free This Time,,sad,1998
TRAAYGH128F92ECD16.h5,The Shirelles,Will You Love Me Tomorrow,,happy,1960
TRAAYPN128F9340DDF.h5,Panic At The Disco,Northern Downpour (Album Version),,sad,2008
TRAAYRA128F92E9CC7.h5,Jan Howard,Bad Seed,,happy,1966
TRAAZBD128F427A97D.h5,Sticky Fingaz,Oh My God,,sad,2000
TRAAZGC12903CB5DFB.h5,The Jeff Healey Band,Hoochie Coochie Man,,happy,1989
TRAAZIE128F427961E.h5,Danny Wilson,The Second Summer Of Love,,happy,1989
TRAAZQW128F93430DC.h5,Shawn Colvin,Another Long One,,sad,1989
TRABAFJ128F42AF24E.h5,Backstreet Boys,Larger Than Life,,happy,1999
TRABAZH128F930419A.h5,Glad,Blessed Assurance,,happy,1993
TRABBOP128F931B50D.h5,Tom Petty,A Higher Place (Album Version),,sad,1994
TRABBXU128F92FEF48.h5,Mitch Ryder,Jenny Take a Ride,,happy,2004
TRABCKL128F423A778.h5,Lupe Fiasco,Streets On Fire (Explicit Album Version),,sad,2007
TRABCUQ128E0783E2B.h5,Gwen Stefani,Harajuku Girls,,happy,2004
TRABDSK128F42443F1.h5,Story Of The Year,Swallow The Knife (Live) (Segue),,sad,2005
TRABDTV128E0791839.h5,Natural Elements,Mayday,,sad,1998
TRABDZC128F42AC23F.h5,Neil Sedaka,Because Of You,,happy,1999
TRABEBP12903C9BA03.h5,A Static Lullaby,Rattlesnake!,,sad,2008
TRABEKF128F42765FF.h5,Nights Like These,Ghost Town Rituals (Album Version),,sad,2006
TRABEMC128F148EF2D.h5,Oasis,Morning Glory,,happy,1995
TRABFGJ12903CF6A75.h5,Eddy Arnold,Just A Little Lovin' (Will Go A Long Way),,happy,1967
TRABFKN12903CAF61B.h5,All Time Low,Shameless,,happy,2007
TRABFZX128F4241355.h5,Daath,From The Blind (LP Version),,sad,2006
TRABGHG128F934B27E.h5,UFO,Chains Chains (Live In Hammersmith),,sad,1981
TRABHCE128F426361B.h5,VHS Or Beta,The Melting Moon (Edit),,happy,2004
TRABHVL128F92EFB0E.h5,Bullet For My Valentine,Suffocating Under Words Of Sorrow (What Can I Do),,sad,2005
TRABIJJ128F426A1C1.h5,Beatnuts,Monster For Music,,sad,1999
TRABIQP128F427D0DD.h5,Rise Against,Everchanging,,sad,2001
TRABIZY128F933C696.h5,Pursuit Of Happiness,Forbidden Fruit,,sad,1975
TRABJIX128C7196953.h5,Amy Winehouse,Stronger Than Me,,happy,2003
TRABJVT128F14AE4B4.h5,Michael Card,Joy In The Journey (The Final Word Album Version),,happy,1992
TRABKBS128F42823EC.h5,A Static Lullaby,God Bless You (Goddamn it),,sad,2005
TRABKJU128F422A7FE.h5,Scar Symmetry,The Illusionist,,happy,2006
TRABLGI128F42B867A.h5,Eighteen Visions,Our Darkest Days,,sad,2006
TRABLLK128F428FFAF.h5,George Harrison,Hear Me Lord (2001 Digital Remaster),,sad,1970
TRABLMN128E0792687.h5,Weezer,Don't Let Go,,happy,2001
TRABLQE128F92E5E75.h5,Jackson United,Undertow,,happy,2008
TRABLTP128F930DC6D.h5,Creedence Clearwater Revived,Have You Ever Seen The Rain,,happy,1971
TRABMZZ128F4249C60.h5,Hatebreed,As Diehard As They Come (Album Version),,sad,2006
TRABNDD128F933D3C7.h5,Sister Hazel,Walls And Cannonballs (Album),,happy,2010
TRABNEX128F92C9DEA.h5,Kings Of Leon,Knocked Up,,sad,2007
TRABNIQ128F4261298.h5,Brooke Valentine,Taste Of Dis (Explicit Version),,happy,2005
TRABOOL128F426E836.h5,Mary Black,Turning Away,,happy,1999
TRABOXX128F92F29EB.h5,Owl City,Panda Bear,,happy,2007
TRABPCM128F1473A75.h5,The Rascals,Nubia (LP Version),,happy,1969
TRABQZK128F92F54F4.h5,Shakira,Pienso En Ti,,sad,1995
TRABRMJ128E0780E42.h5,Blink-182,A New Hope,,happy,1997
TRABSAR128F42324A8.h5,Abysmal Dawn,Compulsory Resurrection,,sad,2008
TRABSEN128F424AA36.h5,Chaotica,Lobotomy,,sad,1999
TRABSUT128F429C161.h5,Neil Innes,Lie Down And Be Counted (2007 Digital Remaster),,sad,1974
TRABSXW128F4233422.h5,Siouxsie,Into A Swan,,happy,2007
TRABTXS128F92E2FDC.h5,Zeromancer,Ammonite,,sad,2009
TRABUAQ128F4258028.h5,Two Man Advantage,The Sweep,,happy,2001
TRABUCZ128F424163A.h5,Green Day,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),,sad,2005
TRABUDK128F14943F3.h5,Donny Hathaway,This Christmas (LP Version),,happy,1970
TRABUJF128F933ABF7.h5,Architecture In Helsinki,Heart it Races (Frank Tetaz Remix),,happy,2007
TRABUMO12903CBE25F.h5,Alice In Chains,Lesson Learned,,sad,2009
TRABUSZ128F4257BAB.h5,Ini Kamoze,Here Comes The Hotstepper,,happy,1995
TRABUYT128F93069C8.h5,Baroness,The Sweetest Curse,,sad,2009
TRABVIU128E0780DA0.h5,Placebo,Slave To The Wage,,sad,2000
TRABVIZ128F42BA066.h5,Metallica,Hit The Lights,,happy,1982
TRABVWG128F9359323.h5,Mötley Crüe,Get It For Free,,happy,1999
TRABWPT128F42B06CC.h5,Keb' Mo',Still There For Me,,happy,2006
TRABXPR128F92F27FE.h5,Cauterize,Shooting Stars,,sad,2003
TRABYAR128F931B1A4.h5,Robben Ford,Something For The Pain,,sad,2002
TRABYEY128F933773A.h5,Anti-Flag,This Is NOT a Crass Song,,happy,1999
TRABYOS12903CC4A81.h5,Rickie Lee Jones,Skeletons (Live Acoustic Version),,sad,1981
TRABZCL128E0789AED.h5,Shelby Lynne,Old Times Sake,,sad,2005
TRABZOP128F9316E24.h5,Franz Ferdinand,Eleanor Put Your Boots On,,happy,2005
TRABZRZ128F42628AD.h5,James Taylor,Steamroller Blues,,happy,1970
TRACABS128E0786B0B.h5,BigElf,Falling Bombs,,sad,2003
TRACAKD128F92D5D38.h5,Kelly Clarkson,My Life Would Suck Without You,,happy,2009
TRACAXP128F14A2127.h5,The Exies,Creeper Kamikaze,,happy,2003
TRACBOR128F422CFE4.h5,Buzzcocks,Strange Thing,,happy,1980
TRACBWP128C7196948.h5,3 Doors Down,It's Not Me,,sad,2003
TRACBWQ128F92F2B91.h5,Ma Rainey,Ma Rainey's Black Bottom,,happy,1927
TRACBWX128F92FD725.h5,Zombie Girl,I Want It,,sad,2006
TRACCKS128F42B77AE.h5,Bone Thugs-N-Harmony,Murder One,,sad,2000
TRACCVZ128F4291A8A.h5,Mastodon,Deep Sea Creature,,sad,2001
TRACECN128F9310E97.h5,Radiohead,Subterranean Homesick Alien,,sad,1997
TRACEDP128F145F7BB.h5,Dave Hollister,Tell Me Why,,sad,2006
TRACFAP128E07862C1.h5,DMX,Damien,,happy,1998
TRACFHZ128F4227BA4.h5,Jewel,Serve The Ego (Hani Num Dub),,happy,2002
TRACFOJ128F4253EFA.h5,Nick Cave & The Bad Seeds,Still In Love,,sad,2003
TRACFOV128F9340D81.h5,Bury Your Dead,Closed Eyes,,sad,2009
TRACFYQ128E0784150.h5,G-Unit,Poppin' Them Thangs,,sad,2003
TRACFZI128E0795424.h5,Saosin,Bury Your Head,,sad,2005
TRACHFO12903CB3009.h5,Warren Barfield,Shadow,,happy,2006
TRACHHH128E0788A35.h5,Dilated Peoples,Big Business,,sad,2004
TRACHKX128F934B07A.h5,Fever Ray,I'm Not Done,,happy,2009
TRACJKR12903D02C75.h5,Johnny Cash,I Got Stripes (Live),,happy,2006
TRACJPW128F932CA4C.h5,Autumnblaze,Her Golden Robe In Silence Veiled,,sad,1999
TRACJWY12903CB7DBF.h5,Kris Kristofferson,Same Old Song,,happy,1974
TRACKAK128F1458461.h5,Gary Moore,Rockin' Every Night (Live),,happy,2005
TRACKAP128F425B741.h5,Christina Aguilera,Walk Away,,sad,2002
TRACLRS12903CE9386.h5,Tammy Wynette,Stand By Your Man,,sad,1968
TRACLRV128EF33FAB8.h5,Whitesnake,Young Blood (2007 Digital Remaster),,happy,1982
TRACMHD128F931FB14.h5,Ensiferum,Hero In A Dream,,happy,1999
TRACMMG128F146D705.h5,Red Hot Chili Peppers,Get On Top (Album Version),,sad,1999
TRACNAS128F14567C6.h5,Tom Petty And The Heartbreakers,Mary Jane's Last Dance,,happy,1993
TRACNJR128F4262E27.h5,John Hammond,Come To Find Out,,happy,2005
TRACNXU12903C9CDFF.h5,Sweet,Airheads,,happy,2002
TRACOHQ128F424C5EF.h5,Chimaira,The Flame,,sad,2007
TRACPZH128F9311764.h5,Snow Patrol,Chocolate,,sad,2003
TRACQFK128F14658B3.h5,Sex Pistols,New York (Dave Goodman Demo Version) (Explicit),,happy,1977
TRACQIS128F92CBED8.h5,Michael Jackson,HISTORY,,sad,1995
TRACRTS128F9300F7E.h5,Bad Brains,Destroy Babylon,,sad,1983
TRACRVJ128F14661D6.h5,Raze,Follow Your Dreams (The Plan Album Version),,happy,2000
TRACSBL128F42480E8.h5,The Presets,Yippiyo-Ay,,happy,2008
TRACSIE128F427F98E.h5,Jennifer Lopez,Talk About Us,,sad,1999
TRACTBH128F422F31B.h5,Silverstein,FRIENDS IN FALL RIVER  (LP Version),,happy,2006
TRACTIE128F92E473B.h5,Alice In Chains,Brother,,happy,1992
TRACTLX128F42A51F6.h5,Matisyahu,Exaltation,,happy,2004
TRACTQD128F14B0F9D.h5,Donny Hathaway,I Love You More Than You'll Ever Know (LP Version),,happy,1990
TRACTUH128F92C93A3.h5,Eddie Money,Two Tickets To Paradise,,happy,1977
TRACTWW12903CB7550.h5,Cracker,Shake Some Action,,happy,1995
TRACUCQ128F92FFBF7.h5,Sade,Smooth Operator,,happy,1983
TRACUDB128F932030C.h5,Kenny Price,Biloxi,,happy,1970
TRACUEE128F427EA05.h5,3 Doors Down,Sarah Yellin',,sad,2002
TRACUXJ128E0785F2B.h5,The Rapture,Killing,,sad,2003
TRACVFF12903CF055A.h5,Dinosaur Jr,On The Brink,,sad,1994
TRACVSS128E07846A7.h5,Snow Patrol,Half The Fun,,sad,2004
TRACWCV128F429D196.h5,The Box Tops,Neon Rainbow,,happy,1967
TRACWFA128F4265BDF.h5,Ultimate Fakebook,Brokÿn Nëedle,,happy,2000
TRACWYD128F1465B4A.h5,Darwin Hobbs,You Are God (Broken Album Version),,happy,2003
TRACXGH128F931686C.h5,Tommy James & The Shondells,Crimson And Clover,,happy,1969
TRACYCJ128F9309246.h5,Britney Spears,Don't Go Knockin' On My Door,,happy,2000
TRACYDP128F932BC8E.h5,Skeletonwitch,Sacrifice for the Slaughtergod,,sad,2007
TRACYMH12903CA01DF.h5,Kix,Cold Blood (LP Version),,happy,1988
TRACYPF128F9338DE0.h5,Maximilian Hecker,Full Of Voices,,sad,2005
TRACYXW128F4297569.h5,Whitesnake,Fool For Your Loving,,sad,1980
TRACZDR128F14599BC.h5,Semisonic,If I Run,,happy,1993
TRACZJA128F429E665.h5,Novaspace,Guardian Angel,,sad,2002
TRADACR12903CD10C1.h5,Colin James,Sending A Message,,happy,2003
TRADAOM128F4263A78.h5,John Mayer,Something's Missing,,sad,2003
TRADAXK12903CD05F2.h5,Dropline,Weight Of The World (Album Version),,sad,2010
TRADAYS12903CDBE0F.h5,Furry Lewis,Judge Boushay Blues,,sad,1972
TRADAZP12903D0A480.h5,Cancer Bats,Sabotage,,sad,2010
TRADBUP128EF354F6C.h5,DJ Quik,Pacific Coast Remix,,happy,2006
TRADCHC128F42134B5.h5,Blackalicious,Rock the Spot,,happy,1999
TRADDBK128F1483FF8.h5,R.E.M.,So. Central Rain (2006 Digital Remaster),,sad,1984
TRADDCV128F423BAB0.h5,King Diamond,The Portrait (Live) (Reissue) (Album Version),,sad,1987
TRADDRF128F145869F.h5,Simple Minds,Careful In Career,,sad,1981
TRADDXS12903CEDB38.h5,Rihanna,Don't Stop The Music,,happy,2007
TRADEAI12903C9B81C.h5,Dokken,Disease,,sad,2008
TRADESF128F4214D8E.h5,Guns N' Roses,Mama Kin,,happy,1986
TRADFAQ128F428AC13.h5,Skrape,Searching For Home,,sad,2003
TRADFCO12903CA9439.h5,Céline Dion,The Reason I Go On,,happy,2007
TRADFID128F4267231.h5,Silverchair,Cicada,,happy,1995
TRADFII128F931FC9F.h5,Metallica,The End Of The Line,,happy,2008
TRADFQK128F422B492.h5,Casiotone For The Painfully Alone,Rice Dream Girl,,sad,1999
TRADFXD128F424694C.h5,Mando Diao,Misty Mountains,,happy,2007
TRADFXO128F92F5B3D.h5,Donnie McClurkin,All I Ever Really Wanted,,happy,2003
TRADGXJ128E078FB3A.h5,Lost Boyz,Get Your Hustle On,,sad,1997
TRADHLD128F4241363.h5,Daath,Above Lucium (LP Version),,sad,2006
TRADHLI128F428FEFD.h5,Suicidal Tendencies,Human Guinea Pig,,sad,1987
TRADHPE128F429FE9C.h5,Jennifer Brown,Naked,,happy,1998
TRADHXU12903CB4400.h5,Pepper,Freeze,,happy,2008
TRADJAO128F146D76E.h5,Red Hot Chili Peppers,Naked In The Rain (Album Version),,happy,1991
TRADJGI128F148B0F6.h5,Jonny Lang,The One I Got,,happy,2003
TRADJHU128F425459F.h5,Novembre,Triesteitaliana,,sad,2007
TRADJJZ128F9341B40.h5,Donna The Buffalo,Tides Of Time,,happy,1999
TRADJSM128F14894AA.h5,Little Feat,Down On The Farm (2006 Remastered Edit Version),,happy,2006
TRADKAX128E0786B92.h5,Death From Above 1979,Romantic Rights,,happy,2004
TRADKDX128F9320676.h5,Foo Fighters,If Ever,,happy,2007
TRADKEU12903CF1540.h5,Eyehategod,Left To Starve,,sad,1992
TRADKLT128F9304E1D.h5,The Antlers,Stairs To the Attic,,happy,2007
TRADMFK12903CC2478.h5,Open Hand,The Ambush,,sad,2004
TRADMUH128F146D3CD.h5,Kanye West,Through The Wire,,happy,2003
TRADNGD128E0780F88.h5,Lloyd Banks,South Side Story,,sad,2004
TRADNJI128F14555DB.h5,Sister Hazel,Space Between Us (Album Version),,happy,1994
TRADNRG128F4295A0E.h5,Kris Kristofferson,Darby's Castle,,sad,1970
TRADNRU128F428AC6D.h5,Bad Religion,Doing Time (Album Version),,sad,1982
TRADNZM128F9300DF3.h5,Shawn Colvin,Sunny Came Home,,sad,1996
TRADODV128F4283EB6.h5,Mobb Deep,Got It Twisted,,sad,2004
TRADOWO12903CD9BA2.h5,Marty Robbins,Have Thine Own Way Lord,,happy,1907
TRADOZB128F42312BB.h5,Cool For August,Don't Wanna Be Here (Album Version),,sad,1997
TRADPDI128F92EBD32.h5,Monster Magnet,CNN War Theme,,sad,2004
TRADPIA128E078EE1B.h5,Nirvana,Heart-Shaped Box,,sad,1993
TRADPPX128E078B0BC.h5,Randy Travis,Down At The Old Corral (Album Version),,happy,1993
TRADQAR128F92ED3DC.h5,The Black Crowes,Nonfiction,,happy,1994
TRADQAW128F4274A4F.h5,G-Unit,Money Make The World Go Around,,sad,2008
TRADQBK128F92E8B5F.h5,Mat Kearney,Never Be Ready,,happy,2009
TRADQHV128F92CD663.h5,Julie Roberts,Unlove Me,,sad,2004
TRADQJL128F92D9957.h5,The Presets,If I Know You,,sad,2008
TRADRED12903CA4B7C.h5,Irma Thomas,River Is Waiting,,happy,2008
TRADRJK128E078F041.h5,The Cardigans,Iron Man,,sad,1996
TRADRXC128F4230BE8.h5,Connie Francis,Embraceable You (LP Version from 'When The Boys Meet The Girls'),,happy,1965
TRADSQZ128F42707D7.h5,Silverchair,Suicidal Dream,,sad,1995
TRADSUA128C7196C7C.h5,U2,New York,,sad,2000
TRADTOV12903CA9E74.h5,Shakira,Did It Again (featuring Kid Cudi),,sad,2009
TRADTXQ128F9331913.h5,Erik Hassle,Don't Bring Flowers,,sad,2009
TRADUKH128F4256D1B.h5,Soul Embraced,Someday (Immune Album Version),,sad,2003
TRADUZS12903CE95D6.h5,Nick Cave & The Bad Seeds,The Hammer Song (2010 Digital Remaster),,sad,1986
TRADVGV128F42BCACE.h5,Avril Lavigne,Innocence,,happy,2007
TRADVKA128F93242C9.h5,Chimaira,Severed (demo) (Album Version),,sad,2001
TRADVNR12903CE5A54.h5,Bumblefoot,Abnormal (Acoustic),,sad,2008
TRADVSU128E0786371.h5,Hem,Redwing,,happy,2004
TRADWOB12903C9D1EB.h5,Coven,Coven In Charing Cross,,sad,1969
TRADXCF128EF357134.h5,Snow Patrol,Shut Your Eyes,,happy,2006
TRADXMA128F4276D94.h5,Dead Prez,Be Healthy,,happy,2000
TRADYFD12903CE4161.h5,Black Flag,Jealous Again,,sad,1980
TRADYQK128F42A762A.h5,Muse,Stockholm Syndrome,,sad,2006
TRADYYK128F145FE74.h5,The Velvet Underground,I Heard Her Call My Name,,happy,1968
TRADZQV128F14A5760.h5,Little Eva,The Loco-Motion,,happy,1962
TRADZWK128F9303076.h5,Simple Minds,Chelsea Girl (Live),,happy,2004
TRADZXK128F429DB92.h5,The Killers,Show You How,,sad,2004
TRAEARU128E0781A02.h5,David Bowie,Space Oddity (1997 Digital Remaster),,happy,1969
TRAEASY128F148247C.h5,Charlotte Gainsbourg,Tel Que Tu Es,,sad,2006
TRAEATL128F42690A7.h5,Aerosmith,Lord Of The Thighs,,happy,1974
TRAEBSY128E07873C0.h5,Del Tha Funkee Homosapien,Mistadobalina,,happy,1991
TRAEBXE128F933B4F5.h5,Rihanna,Good Girl Gone Bad,,happy,2007
TRAECBR128F429F8C0.h5,Britney Spears,Everytime,,sad,2003
TRAECVW128E078884D.h5,Rise Against,State Of The Union,,sad,2004
TRAECWI128F4226133.h5,Helmet,Your Head,,sad,1995
TRAEDXO128F421B908.h5,Shaman,For Tomorrow (live),,happy,2003
TRAEDYD128F425A868.h5,K-OS,Clap Ur Handz,,happy,2004
TRAEEMP128F92F4B9C.h5,Delbert McClinton,Lose Your Money,,happy,2000
TRAEFON128E078C6F8.h5,MC5,Miss X (LP Version),,happy,1971
TRAEFQG128F429F74E.h5,Washboard Sam,Bucket's Got A Hole In It,,happy,1994
TRAEFUS12903CC2779.h5,Tammy Wynette,Welcome To My World (Live),,happy,2000
TRAEFWP128F4238373.h5,Fun Lovin' Criminals,We Have All The Time In The World (Live),,happy,1996
TRAEGBE128F4284973.h5,OutKast,Happy Valentine's Day,,happy,2003
TRAEGGV128F92F29B2.h5,Warrant,Cherry Pie,,happy,1990
TRAEGMO128F146D5F6.h5,Righteous Brothers,See That Girl,,sad,1965
TRAEGUL128E078B0C1.h5,Randy Travis,Wind In The Wire (Album Version),,sad,1993
TRAEHBW12903CE1045.h5,Tonic,Where Do I Fit,,sad,2010
TRAEHYF128F148AE0C.h5,Dave Hollister,Bad When U Broke,,sad,2010
TRAEKCV128E0781A5B.h5,Thomas Dolby,One Of Our Submarines,,sad,1982
TRAELXD128F14A8B21.h5,Randy Travis,On The Other Hand (Remastered Album Version),,sad,1986
TRAEMNZ128F9334662.h5,Aerosmith,Angel,,sad,1987
TRAEMZO12903CC525F.h5,Michael McDonald,Love Can Break Your Heart (LP Version),,sad,1990
TRAENGX12903CBDFF6.h5,The Pineapple Thief,Snowdrops,,sad,2006
TRAENGY128F4272846.h5,Buddy Jewell,Sweet Southern Comfort,,happy,2003
TRAENUU128F424F50C.h5,House Of Lords,Rock Bottom,,happy,2006
TRAENVO128E0781A16.h5,Fun Lovin' Criminals,Love Unlimited (Explicit),,happy,1998
TRAENYD128F424AA32.h5,Chaotica,Turbocharger,,sad,2000
TRAEOBA12903CAFAB0.h5,Placebo,Hardly Wait,,sad,2009
TRAEOFD128F9311409.h5,Kraftwerk,Computer Love (2009 Digital Remaster),,sad,2007
TRAEOGO128F93302B9.h5,FFH,Great Big Problem,,sad,2005
TRAEOMS128F4262357.h5,NOFX,My Heart Is Yearning,,happy,1994
TRAEOOH128F934ACD4.h5,GWAR,Let's Blame The Lightman,,happy,1997
TRAEOUE128F93187B9.h5,Sick Puppies,Master Of The Universe,,sad,2009
TRAEPAW128F4285BAB.h5,Geggy Tah,Gina,,happy,1996
TRAEPGQ128F932AE6D.h5,Loretta Lynn,I Can't Feel You Anymore,,happy,1994
TRAEPPP128F92F11E8.h5,Mista,I'll Sweat You (LP Version),,happy,1996
TRAEQOS128F92EFD47.h5,The Fray,Vienna,,sad,2002
TRAEQQE128F42920E3.h5,Skeeter Davis,He Says The Same Things To Me,,sad,1963
TRAEQZR128F92E9D73.h5,Skeeter Davis,Foggy Mountain Top,,happy,1963
TRAEROB12903CE3E7D.h5,Pepper,Stormtrooper (Live),,sad,2009
TRAERPT128F931103E.h5,The Rolling Stones,Time Is On My Side,,happy,1964
TRAERQB128F932563F.h5,Twila Paris,We Will Glorify (Key-B-Db-Premiere Performance Plus),,happy,1991
TRAERST128F4266F90.h5,Bob Carlisle,Man Of No Reputation,,sad,1994
TRAESJK128E0792227.h5,Eminem,Ricky Ticky Toc,,sad,2004
TRAESQE128F92D0349.h5,Barry Manilow,Come Monday,,happy,2001
TRAESWB128F149CB2C.h5,Dexys Midnight Runners,Until I Believe In My Soul,,happy,1982
TRAETTV12903CBBD09.h5,Jimi Hendrix,Voodoo Chile Blues,,sad,1994
TRAETWP128F421AD6A.h5,Tommy Castro,Sho' Enough,,happy,1996
TRAEUGG128E07826F2.h5,William Orbit,The Monkey King,,sad,1993
