file,artist,title,lyrics,genre,mood,year
TRAACQT128F9331780.h5,John Wesley,The Emperor Falls,"Brick by brick
stone by stone
dismantle the will of a man
strip his flesh and bone

Reach out your hand
the moment comes
blade catches the light of your eyes
the man slowly comes undone

Nobody noticed
no one saw a thing
all turned a blind eye to the fallen
and the bad luck he brings

You wake in the morning after
the sky's a color that you can't see
friends have fallen by the wayside
why isn't anyone talking to me
get those funny looks in the market
people you loved just stare
wander on with your hands in your pockets
even your girlfriend don't care

They've all come to watch the emperor
They've all come to watch the emperor
They've all come to watch the emperor

To watch the emperor fall

One part truth
three parts deceit
two parts shit that you made up
add passion for heat

Did ya hear he said this
can you believe he done that
can you believe the nerve of the man
let me at him tell me where he's at
wake to your fave in the mirror
see someone you don't recognize
stare at the changes in the reflection
you've become someone that you despise",Rock,sad,1998
TRAACTB12903CAAF15.h5,Billie Jo Spears,It Makes No Difference Now,"Makes no difference now what kind of life fate hands me
I'll get along without you now that's plain to see
I don't care what happens next 'cause I'll get by somehow
I don't worry 'cause it makes no difference now

It was just a year ago when I first met you
I learned to love you and I thought you loved me too
But now that's all in the past and I'll forget somehow
I don't worry 'cause it makes no difference now

Now that we have really parted I can't believe we're through
I don't blame myself and I'm sure I can't blame you
I know that something had to happen and it happened somehow
I don't worry 'cause it makes no difference now

After all is said and done I'll soon forget you
Although I know that it will be so hard to do
Let things happen as they will and I'll get by somehow
I don't worry 'cause it makes no difference now",Country,sad,1992
TRAADLN128F14832E9.h5,The Rolling Stones,Angie (1993 Digital Remaster),"Angie, Angie
When will those clouds all disappear?
Angie, Angie
Where will it lead us from here?

With no lovin' in our souls
And no money in our coats
You can't say we're satisfied
But Angie, Angie
You can't say we never tried

Angie, you're beautiful, yeah
But ain't it time we said goodbye?
Angie, I still love ya
Remember all those nights we cried?

All the dreams we held so close
Seemed to all go up in smoke
Let me whisper in your ear
Angie, Angie
Where will it lead us from here?

Oh, Angie, don't you weep
All your kisses still taste sweet
I hate that sadness in your eyes
But, Angie (wooh), Angie
Ain't it time we said goodbye, yeah?

With no lovin' in our souls
And no money in our coats
You can't say we're satisfied
But Angie, I still love you, baby
Everywhere I look, I see your eyes
There ain't a woman that comes close to you
Come on, baby, dry your eyes

But Angie, Angie
Ain't it good to be alive?
Angie, Angie
They can't say we never tried",Rock,sad,1973
TRAADNA128F9331246.h5,Stevie Ray Vaughan,Crossfire,"Day by day, night after night,
Blinded by the neon lights.
Hurry here, hustlin' there,
No one's got the time to spare.
Money's tight, nothin' free,
Won't somebody come and rescue me?
I am stranded, caught in the crossfire
Stranded, caught in the crossfire.

Tooth for tooth, eye for an eye.
Sell your soul just to buy, buy, buy.
Beggin' a dollar, stealin' a dime,
Come on can't you see that I
I am stranded ,caught in the crossfire
I am stranded, caught in the crossfire.

I need some kind of kindness, some kind of sympathy oh, no
We're stranded, caught in the crossfire

Save the strong lose the weak,
Never turning the other cheek.
Trust nobody don't be no fool,
Whatever happened to the golden rule?
We got stranded, caught in the crossfire
We got stranded, caught in the crossfire
We got stranded, caught in the crossfire
Stranded, caught in the crossfire
Help me.",Blues,happy,1992
TRAADQX128F422B4CF.h5,Casiotone For The Painfully Alone,Nashville Parthenon,"If you ever make it back to Nashville
Remember you have still got a friend
I'll meet you at the Parthenon
That's the place we always went

It's been so dull since you left Nashville
I've read the same books again & again
It makes me wish I wasn't bashful
When it comes to other men

But if I could have my way
Darling you'd come home

Remember when you moved to Nashville
And the first time that we kissed
Remember when your mother found us
Remember that you're sorely missed

And when you make it back to Nashville
We'll forget all of your sins
And I still buy two pairs of everything
So when you come home you & I'll be twins

Because if I could have my way
I wouldn't be alone",Jazz,sad,2006
TRAADYB128F92D7E73.h5,Eliane Elias,The More I See You,"The more I see you the more I want you
Somehow this feeling just grows and grows
With every sigh I become more mad about you
More lost without you and so it goes

Can you imagine how much I'll love you
The more I see you as years go by?
I know the only one for me can only be you
My arms won't free you, my heart won't try

The more I see you the more I want you
Somehow this feeling just grows and grows
With every sigh I become more mad about you
More lost without you and so it goes

Can you imagine how much I'll love you
The more I see you as years go by?
I know the only one for me can only be you
My arms won't free you, my heart won't try
The more I see you as years go by

Can you imagine how much I'll love you
The more I see you as years go by?
I know the only one for me can only be you
My arms won't free you, my heart won't try
The more I see you as years go by

The more I see you the more I want you
The more I see you the more I want you
The more I see you the more I want you",Jazz,sad,2009
TRAADYI128E078FB38.h5,Lost Boyz,Certain Things We Do,"(Chorus: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night

(Mr. Cheeks)
It's my first night in this spot
I can't front people jump okay it's rather hot
I'm with my brother, while roll he went and got the mole
He said he'll meet us at the party, yeah we just did the show
Now all my peeps is on the floor and they bouncin
The Lost Boyz is in the house, they're announcing (announcing)
We getting lifted with these honeys that we just met
They're dime pieces but ain't slidin with us yet
We gots to get our stroll on, hit the floor once
See eye to eye, he's on his way, he's bringin more pound
No need for my team to front in profile
Two shorties flirtin with Freaky Tah and B-Wild
I see my niggaz in suit, and he's chattin with
This genuine fine ass man (ass man)
Yo kid, I love it when my mind is in the right mist
If you with me throw your elves up like this
Everybody now

(Chorus w/ variations: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night

(Mr. Cheeks)
Yo shortie hop with the DK and Y all night
I think I'll walk over there and get my cry on
She playin hard to get, but when I get that
I'ma take it to the S's son I hit that
I can see it in the eyes, cause they don't lie

She's tryin hard to resist baby don't try
Now grab your drink come close to me
It's only right and that's way it's supposed to be
Now we loungin, chillin in the VIP
Got my nigga Ref and Bink with me
G Money & Jeff Star they at the bar
LB fam will, gear up to par
Off the boo and the Queens, shreed and the cuts
We represent fam nigga what
Givin love to everybody walkin by
Throw your elves in the air if you high

(Chorus w/ variations: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night

(Mr. Cheeks)
Now I'm wanderin who I'm goin home with
I got two chicks but only one is owned with
I got the whip down South plus some toe up
A favorite motherfucker safe from the floor up
Now the second one's hot cause she got class
See the first one's butt, she ain't got ass
Like she do, now you know how we do
We only fuck with the beat that will feed you
Now do I have to tell you what I did?
Grab my coat, cause shorties in a slid
to her diner, we got our eat on
You know my style kid; I got my treat on
So now we back at the last smokin Cannabis, Sativa
To the bone of the receiver
Put some sounds on as we end the herb
End and that, then again, this world

(Chorus w/ variations: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night",Hip Hop/Rap,happy,1997
TRAAEAM128F934B199.h5,The Germs,Forming,"Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-

Mr. Prez in his big White House
Listen, he says, we're comin' out
Infiltration - we're numbin' your minds
Concentration - we've done time

Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-

Over there, the Queen, she says
Let's stamp them out and dry those tears
Saturation - we want in taxes
Flagellation - we've got gashes

Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-

In the cold, the czar's claimin'
Just protectin', rockets aimin'
Alteration - earth is changin'
Observation - we want action

Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-

I, the Emperor, proclaim
Us, the masters, we rule the game
Inclination - somethin' to dream on
Deprivation - we are sons

Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-",Rock,sad,1977
TRAAEEH128E0795DFE.h5,Chris Rea,Driving Home For Christmas,"I'm driving home for Christmas
I can't wait to see those faces
I'm driving home for Christmas
Yea I'm moving down that line
And it's been so long
But I will be there
To sing this song
To pass the time away
Driving in my car
Christmas
Gonna take some time
Top to toe in tailbacks
Got red lights on the run
But soon there'll be a freeway
My feet on holy ground
So I sing for you
Though you can't hear me
When I get trough
And feel you near me
Driving in my car
Driving home for Christmas
With a thousand memories
I take look at the driver next to me
He's just the same
Just the same
Top to toe in tailbacks
Got red lights on the run
Driving home for Christmas, yea
Get my feet on holy ground
So I sing for you
Though you can't hear me
When I get trough
And feel you near me
Driving in my car
Christmas
Driving in my car
Driving home for Christmas
Driving home for Christmas
I'm driving home for Christmas
Oh, I can't wait to see those faces
I'm driving home for Christmas, yea
Well I'm moving down that line
And it's been so long
But I will be there
I sing this song
To pass the time away
Driving in my car
Driving home for Christmas
It's gonna take some time
But I'll get there
Top to toe in tailbacks
Oh, I got red lights on the run
But soon there'll be a freeway
Get my feet on holy ground
So I sing for you
Though you can't hear me
When I get trough
And feel you near me
I am driving home for Christmas
Driving home for Christmas
With a thousand memories
I take look at the driver next to me
He's just the same
Just the same
Top to toe in tailbacks
Oh, I got red lights on the run
I'm driving home for Christmas, yea
Get my feet on holy ground
So I sing for you
Though you can't hear me
When I get trough
And feel you near me
Driving in my car
Driving home for Christmas
Driving home for Christmas
With a thousand memories",Rock,happy,1986
TRAAEUB12903CDD3EA.h5,The Berzerker,Deform (live),"Degradation, i don't want your, 
rhinoplasty, i don't need you, 
not any more,
though i am a perverted man,
disproportioned, version of a,
normal man, dirty man,
any surgery can not get the god dam filth out of my head,
Maladjusted, not because of,
my appearance, you can't see past,
how i was born, are you blinded by the way you live?
violated, version of a,
normal man, dirty man,
reconstruction, reformation, reaching out into a shallow world,
My normal features, they gaze with impunity,
i am an animal, don't want to be a man,
i wish destruction on every man i see,
am i a man, am i a man, am i?
to forgive them means loss of my memory,
can i decide between a psycho and a citizen,
no chance of that i want death to my enemy,
i'm not a man, i'm not a man,
How can you think of me? judge of me? watch me?
all i want to be is, is to be free,
Degradation, i don't want your,
rhinoplasty, i don't need you,
though i am a perverted man,
disproportioned, version of a, 
normal man, dirty man,
any surgery can not get the god dam filth out of my head.",Electronic,sad,2000
TRAAEWG128F930B3A4.h5,Kings Of Leon,Wicker Chair,"In your little white wicker chair 
Unsuspicious, nobody cares for you 
You're so fucked up again

You laugh at nothin' in the pouring rain 
You try to tell yourself you're not insane 
You fool, I hate you sometimes

Hey
You know it ain't coincidental that you're lost in place
It's drippin' off your face
And you're losin' your precious mind

But send me a postcard if you get that far
You got a couple pennies in your rusty jar
The truth, you've been gone for awhile

And it's hard lookin' at you when you look that way
With your one night stands and your sleep all days
Ooh, you're such a slut sometimes

But hey
You know it ain't coincidental that you're lost in place
It's drippin' off your face
And you're losin' your precious mind

You're losin' your mind
You're losin' your mind
You're losin' your mind

I said you're losin' your mind
You're losin' your mind
You're losin' your mind
I said you're losin' your mind
You're losin' your mind
You're losin' your mind
I said you're losin' your mind
You're losin' your mind
You're losin' your mind",Rock,sad,2003
TRAAFJW128F428A424.h5,NOFX,Stickin In My Eye,"When I look 'round, I only see outta one eye
As the smoke surrounds my head, the sauna
I hear the voices, but I can't make out their words
Saying things, saying things that
I got something sticking in my eye
Got something sticking in my eye
Got something sticking in my eye

I feel unusual from thinking
About the underground decay, God help me
Kill beneath the camera, watch the world begin to cry
It's not from pity
It comes from what's been sticking in my eye
Got something sticking in my eye
Got something sticking in my eye
Got something sticking in my eye
Got something sticking in
Got something sticking in
Got something sticking in my eye",Rock,happy,1992
TRAAFYL128E07856A7.h5,Van Halen,Panama (Remastered Album Version),"Oh yeah!
Uh-huh!

Jump back, what's that sound?
Here she comes, full blast and top down
Hot shoe, burnin' down the avenue
Model citizen, zero discipline

Don't you know she's coming home with me
You'll lose her in that turn
I'll get her

Panama 
Panama
Panama 
Panama

Ain't nothin' like it, her shiny machine
Got the feel for the wheel, keep the movin' parts clean
Hot shoe, burnin' down the avenue
Got an on-ramp comin' through my bedroom

Don't you know she's coming home with me
You'll lose her in that turn
I'll get her
(Uh-oh!)

Panama 
Panama (ow!)
Panama 
Panama (ah-oh-oh-oh-oh)
Woo!

Yeah, we're runnin' a little bit hot tonight
I can barely see the road from the heat comin' off 
(You know what I'm sayin')
Ah, reach down between my legs and...ease the seat back

She's runnin', I'm flyin'
Right behind in the rearview mirror now
Got the fearin', power steerin'
Pistons poppin', ain't no stoppin' now

Panama 
Panama
Panama 
Panama (ah-oh-oh-oh-oh)
Panama 
Panama (ah-oh-oh-oh-oh)

Panama!",Rock,happy,1984
TRAAGCZ128F93210FD.h5,Black Eyed Peas,Let's Get It Started,"Let's get it started, in here...

And the bass keep runnin' runnin', 
And runnin' runnin', 
And runnin' runnin',
And runnin' runnin',
And runnin' runnin', 
And runnin' runnin', 
And runnin' runnin', 
And runnin' runnin', and...

In this context, there's no disrespect, so, when I bust my rhyme, you break your necks
We got five minutes for us to disconnect, from all intellect and let the rhythm effect
Obstacles are inefficient, follow your intuition, free your inner soul and break away from tradition 
Coz when we beat out, girl is pullin' without. You wouldn't believe how we wow shit out
Burn it till it's burned out. Turn it till it's turned out. Act up from north, west, east, south

Everybody, everybody, let's get into it
Get stupid
Get it started, (come on) get it started, (yea) get it started
Let's get it started in (ha), let's get it started in here
Let's get it started in (ha), let's get it started in here
Let's get it started in (ha), let's get it started in here. 
Let's get it started in (ha), let's get it started in here.
Yeah

Lose control, of body and soul
Don't move too fast, people, just take it slow
Don't get ahead, just jump into it
Ya'll hear about it, the Peas'll do it
Get stutted, get stupid
Don't worry 'bout it people will walk you through it
Step by step, like you're into new kid
Inch by inch with the new solution
Transmit hits, with no delusion
The feeling's irresistible and that's how we movin'

Everybody, everybody, let's get into it
Get stupid
Get it started, (come on) get it started, (yea) get it started
Let's get it started in (ha), let's get it started in here
Let's get it started in (ha), let's get it started in here 
Let's get it started in (ha), let's get it started in here 
Let's get it started in (ha), let's get it started in here 
Yeah.

The bass keeps runnin' runnin', and runnin' runnin', 
And runnin' runnin', and runnin runnin' and... 

C'mon y'all, lets get cookoo! (uh huh)
Lets get cookoo! (in here)
Why not get cookoo! (uh huh)
Lets get cookoo! (in here)
Why not get cookoo! (uh huh)
Lets get cookoo! (in here) Ow, ow, ow!
Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya...

Let's get ill, that's the deal.
At the gate, we'll bring the bud top drill. (Just)
Lose your mind this is the time,
Ya'll test this drill, Just and bang your spine. (Just)
Bob your head like Apl.De, up inside your club or in your Bentley.
Get messy, loud and sick.
Ya'll mount past slow mo in another head trip. (So)
Come then now do not correct it, let's get ignant let's get hectic.

Everybody, everybody, let's get into it.
Get stupid. (Come on)
Get it started (come on) , get it started, get it started.
Let's get it started in (ha), let's get it started in here. 
Let's get it started in (ha), let's get it started in here.
Let's get it started in (ha), let's get it started in here.
Let's get it started in (ha), let's get it started
(Whoa, whoa, whoa) in here. 
Yeah.

Cookoo (uh huh) 
We cookoo! (in here)
Lets get cookoo! (uh huh)
We cookoo! (in here)
Why not get cookoo! (uh huh)
We cookoo! (in here) Ow, ow, ow!
Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya...

Runnin' runnin', and runnin' runnin', 
And runnin' runnin', and runnin' runnin'",Hip Hop/Rap,happy,2004
TRAAGEC128E079252C.h5,Nine Inch Nails,Metal,"We're in the building where they make us grow
And I'm frightened by the liquid engineers
Like you

My mallory heart
Is sure to fail
I could crawl around the floor
Just like I'm real
Like you

The sound of metal
I want to be 
You
I should learn to be man
Like you

Plug me in
And turn me on
Oh everything is moving here

I need my treatment
It's tomorrow they send me
Singing ""I am an American""
Do you?

Picture this
If I should make the change
I'd love to pull the wires from the wall!
Did you?

And who are you?
And how can I try?
Here inside I like the metal
Don't you?

All I know, is no one dies
I'm still confusing love with need",Rock,sad,2000
TRAAGGE128F9325E2C.h5,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),"Once she lay open like a road
Carbed apart the madness that I stumbled from
But she fell away
She fell away
Shed me like a skin
She fell away
Left me holding everything 

Once the road lay open like a girl
And we drank and laughed and threw the bottle over
But she fell away
She fell away
I did not see the cracks form
As I knelt to pray
I did not see the crevice yawn, no 

Sometimes
At night I feel the end it is at hand
My pistol going crazy in my hand
For she fell away
O she fell away
Walked me th the brink
The fell away
I did not see her fall
To better days
Sometimes I wonder was she ever there at all
She fell away
She fell away
She fell away",Rock,sad,1986
TRAAGJV128F1464090.h5,Lesley Gore,It's My Party,"It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Nobody knows where my Johnny has gone
But Judy left the same time
Why was he holding her hand
When he's supposed to be mine?

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Play all my records, keep dancing all night
But leave me alone for awhile
Till Johnny's dancing with me
I've got no reason to smile

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Judy and Johnny just walked through the door
Like a queen with her king
Oh, what a birthday surprise
Judy's wearing his ring

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Oh, it's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Oh, it's my party and I'll cry if I want to",Pop,happy,1963
TRAAGPF12903CE027E.h5,Slim Whitman,Indian Love Call,"Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo
When I'm calling you
Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo
Will you answer too?
Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo

That means I offer my love to you to be your own
If you refuse me I will be blue, waiting all alone

But if when you hear my love call ringing clear
Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo
And I hear your answering echo so dear
Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo
Then I will know our love will come true
You'll belong to me, I'll belong to you

Then I will know our love will come true
You'll belong to me, I'll belong to you",Country,sad,1990
